date,session_key,pressure,meeting_key,track_temperature,wind_direction,wind_speed,rainfall,air_temperature,humidity
2025-05-25T12:07:18.971000+00:00,9979,1017.3,1261,42.6,298,1.0,0,21.5,55.0
2025-05-25T12:08:18.969000+00:00,9979,1017.3,1261,43.6,176,0.7,0,21.6,54.0
2025-05-25T12:09:19+00:00,9979,1017.3,1261,43.5,180,2.2,0,21.6,54.0
2025-05-25T12:10:19+00:00,9979,1017.2,1261,43.3,0,1.2,0,21.4,55.0
2025-05-25T12:11:19.017000+00:00,9979,1017.1,1261,43.2,341,0.4,0,21.3,55.0
2025-05-25T12:12:19.027000+00:00,9979,1017.2,1261,43.0,319,1.1,0,21.4,55.0
2025-05-25T12:13:19.024000+00:00,9979,1017.2,1261,43.0,327,1.6,0,21.5,54.0
2025-05-25T12:14:19.033000+00:00,9979,1017.1,1261,43.0,330,2.2,0,21.5,56.0
2025-05-25T12:15:19.028000+00:00,9979,1017.2,1261,43.0,334,1.1,0,21.6,56.0
2025-05-25T12:16:19.064000+00:00,9979,1017.0,1261,44.1,331,1.1,0,21.8,53.0
2025-05-25T12:17:19.072000+00:00,9979,1017.1,1261,44.1,315,0.9,0,21.8,51.0
2025-05-25T12:18:19.072000+00:00,9979,1017.1,1261,43.5,332,1.4,0,21.6,53.0
2025-05-25T12:19:19.088000+00:00,9979,1017.1,1261,43.2,345,1.3,0,21.5,54.0
2025-05-25T12:20:19.077000+00:00,9979,1017.0,1261,42.7,333,1.0,0,21.5,55.0
2025-05-25T12:21:19.075000+00:00,9979,1017.1,1261,43.2,302,1.8,0,21.5,56.0
2025-05-25T12:22:19.067000+00:00,9979,1017.1,1261,44.2,330,1.2,0,21.6,55.0
2025-05-25T12:23:19.073000+00:00,9979,1017.0,1261,44.4,337,1.4,0,21.6,55.0
2025-05-25T12:24:19.084000+00:00,9979,1017.0,1261,44.5,323,1.5,0,21.8,54.0
2025-05-25T12:25:19.078000+00:00,9979,1017.0,1261,44.5,242,1.3,0,21.9,54.0
2025-05-25T12:26:19.067000+00:00,9979,1017.0,1261,44.1,0,0.9,0,21.7,54.0
2025-05-25T12:27:19.073000+00:00,9979,1017.0,1261,43.7,327,0.6,0,21.7,55.0
2025-05-25T12:28:19.082000+00:00,9979,1016.9,1261,44.1,335,0.6,0,21.9,54.0
2025-05-25T12:29:19.092000+00:00,9979,1017.0,1261,44.2,327,1.7,0,21.8,54.0
2025-05-25T12:30:19.111000+00:00,9979,1016.9,1261,43.9,305,1.5,0,21.8,54.0
2025-05-25T12:31:19.114000+00:00,9979,1017.0,1261,43.9,325,0.8,0,21.8,55.0
2025-05-25T12:32:19.117000+00:00,9979,1017.0,1261,43.9,216,0.9,0,22.1,52.0
2025-05-25T12:33:19.114000+00:00,9979,1017.1,1261,44.5,2,0.8,0,22.1,52.0
2025-05-25T12:34:19.115000+00:00,9979,1017.1,1261,44.5,321,0.9,0,22.0,53.0
2025-05-25T12:35:19.104000+00:00,9979,1017.0,1261,43.5,325,0.9,0,21.9,54.0
2025-05-25T12:36:19.105000+00:00,9979,1017.1,1261,43.5,328,0.7,0,22.0,54.0
2025-05-25T12:37:19.117000+00:00,9979,1017.0,1261,43.7,252,1.1,0,21.8,54.0
2025-05-25T12:38:19.129000+00:00,9979,1017.0,1261,43.7,302,1.3,0,21.7,54.0
2025-05-25T12:39:19.112000+00:00,9979,1017.0,1261,43.4,0,1.0,0,21.5,56.0
2025-05-25T12:40:19.124000+00:00,9979,1017.0,1261,42.7,221,0.7,0,21.5,56.0
2025-05-25T12:41:19.121000+00:00,9979,1017.0,1261,43.0,332,0.3,0,21.4,56.0
2025-05-25T12:42:19.115000+00:00,9979,1017.0,1261,43.3,335,1.1,0,21.4,55.0
2025-05-25T12:43:19.125000+00:00,9979,1017.1,1261,43.3,328,0.4,0,21.5,53.0
2025-05-25T12:44:19.118000+00:00,9979,1017.0,1261,42.9,335,1.5,0,21.6,53.0
2025-05-25T12:45:19.118000+00:00,9979,1017.1,1261,42.2,338,0.9,0,21.7,53.0
2025-05-25T12:46:19.125000+00:00,9979,1017.1,1261,42.1,240,1.3,0,21.8,53.0
2025-05-25T12:47:19.116000+00:00,9979,1017.1,1261,42.6,145,0.5,0,21.8,53.0
2025-05-25T12:48:19.127000+00:00,9979,1017.0,1261,43.3,0,0.8,0,21.9,52.0
2025-05-25T12:49:19.125000+00:00,9979,1016.9,1261,44.0,330,1.0,0,22.1,51.0
2025-05-25T12:50:19.133000+00:00,9979,1016.9,1261,44.8,328,0.9,0,22.1,49.0
2025-05-25T12:51:19.125000+00:00,9979,1016.9,1261,44.8,230,0.7,0,22.0,50.0
2025-05-25T12:52:19.126000+00:00,9979,1017.0,1261,44.4,191,0.5,0,22.1,50.0
2025-05-25T12:53:19.124000+00:00,9979,1017.0,1261,44.4,192,0.7,0,22.1,49.0
2025-05-25T12:54:19.140000+00:00,9979,1016.9,1261,44.1,222,0.6,0,22.1,50.0
2025-05-25T12:55:19.141000+00:00,9979,1017.1,1261,44.1,189,0.4,0,22.0,50.0
2025-05-25T12:56:19.135000+00:00,9979,1017.0,1261,43.7,335,1.4,0,21.9,51.0
2025-05-25T12:57:19.129000+00:00,9979,1016.9,1261,43.5,355,1.0,0,21.9,52.0
2025-05-25T12:58:19.130000+00:00,9979,1016.9,1261,44.5,339,1.7,0,21.9,51.0
2025-05-25T12:59:19.149000+00:00,9979,1016.9,1261,44.7,330,1.8,0,21.9,51.0
2025-05-25T13:00:19.130000+00:00,9979,1016.9,1261,44.6,329,1.5,0,21.9,51.0
2025-05-25T13:01:19.131000+00:00,9979,1016.9,1261,44.6,295,1.8,0,21.9,51.0
2025-05-25T13:02:19.147000+00:00,9979,1016.9,1261,45.0,318,1.1,0,21.9,51.0
2025-05-25T13:03:19.132000+00:00,9979,1016.8,1261,45.2,345,0.8,0,22.0,51.0
2025-05-25T13:04:19.138000+00:00,9979,1016.9,1261,43.9,44,1.2,0,22.0,51.0
2025-05-25T13:05:19.148000+00:00,9979,1016.9,1261,42.7,331,0.9,0,21.9,53.0
2025-05-25T13:06:19.139000+00:00,9979,1016.9,1261,42.7,205,0.9,0,21.7,53.0
2025-05-25T13:07:19.155000+00:00,9979,1016.9,1261,43.2,346,1.6,0,21.8,52.0
2025-05-25T13:08:19.203000+00:00,9979,1016.9,1261,43.2,0,1.0,0,21.9,51.0
2025-05-25T13:09:19.215000+00:00,9979,1016.9,1261,42.7,190,0.8,0,22.0,53.0
2025-05-25T13:10:19.275000+00:00,9979,1016.9,1261,41.3,318,0.5,0,22.0,55.0
2025-05-25T13:11:19.251000+00:00,9979,1016.8,1261,42.0,171,0.9,0,21.9,54.0
2025-05-25T13:12:19.282000+00:00,9979,1016.9,1261,42.2,294,1.1,0,21.9,54.0
2025-05-25T13:13:19.267000+00:00,9979,1016.9,1261,43.1,341,1.0,0,22.0,54.0
2025-05-25T13:14:19.278000+00:00,9979,1016.9,1261,44.1,317,0.8,0,22.1,52.0
2025-05-25T13:15:19.283000+00:00,9979,1016.9,1261,44.2,16,1.3,0,22.3,51.0
2025-05-25T13:16:19.305000+00:00,9979,1017.0,1261,44.6,0,1.1,0,22.4,50.0
2025-05-25T13:17:19.290000+00:00,9979,1017.0,1261,44.7,331,1.3,0,22.5,48.0
2025-05-25T13:18:19.299000+00:00,9979,1017.0,1261,45.0,162,1.1,0,22.6,49.0
2025-05-25T13:19:19.331000+00:00,9979,1016.9,1261,43.7,29,1.5,0,22.6,50.0
2025-05-25T13:20:19.310000+00:00,9979,1016.9,1261,43.7,0,0.4,0,22.5,52.0
2025-05-25T13:21:19.366000+00:00,9979,1017.0,1261,44.0,265,0.9,0,22.3,52.0
2025-05-25T13:22:19.348000+00:00,9979,1017.0,1261,44.0,149,0.8,0,22.4,53.0
2025-05-25T13:23:19.333000+00:00,9979,1016.9,1261,44.0,0,0.6,0,22.4,53.0
2025-05-25T13:24:19.348000+00:00,9979,1016.9,1261,44.3,327,0.8,0,22.5,51.0
2025-05-25T13:25:19.361000+00:00,9979,1016.9,1261,45.2,173,1.2,0,22.5,50.0
2025-05-25T13:26:19.375000+00:00,9979,1016.7,1261,45.2,189,0.5,0,22.6,48.0
2025-05-25T13:27:19.369000+00:00,9979,1016.9,1261,44.9,238,0.6,0,22.7,49.0
2025-05-25T13:28:19.372000+00:00,9979,1016.9,1261,44.5,163,1.2,0,22.8,49.0
2025-05-25T13:29:19.388000+00:00,9979,1016.9,1261,44.5,177,1.6,0,22.8,50.0
2025-05-25T13:30:19.371000+00:00,9979,1016.8,1261,44.0,157,0.8,0,22.6,51.0
2025-05-25T13:31:19.386000+00:00,9979,1016.8,1261,44.0,349,0.8,0,22.5,51.0
2025-05-25T13:32:19.370000+00:00,9979,1016.9,1261,44.0,259,0.5,0,22.4,52.0
2025-05-25T13:33:19.371000+00:00,9979,1016.9,1261,43.8,295,0.6,0,22.4,51.0
2025-05-25T13:34:19.384000+00:00,9979,1016.8,1261,43.1,192,0.8,0,22.5,52.0
2025-05-25T13:35:19.393000+00:00,9979,1016.9,1261,43.2,193,0.6,0,22.3,53.0
2025-05-25T13:36:19.393000+00:00,9979,1016.9,1261,43.8,86,1.4,0,22.4,53.0
2025-05-25T13:37:19.383000+00:00,9979,1016.8,1261,43.8,169,0.7,0,22.4,54.0
2025-05-25T13:38:19.401000+00:00,9979,1016.8,1261,43.6,0,0.6,0,22.3,53.0
2025-05-25T13:39:19.418000+00:00,9979,1016.8,1261,43.6,165,0.9,0,22.4,52.0
2025-05-25T13:40:19.419000+00:00,9979,1016.8,1261,43.7,335,1.0,0,22.4,52.0
2025-05-25T13:41:19.403000+00:00,9979,1016.9,1261,43.6,196,1.3,0,22.4,53.0
2025-05-25T13:42:19.417000+00:00,9979,1016.8,1261,43.3,51,1.1,0,22.5,54.0
2025-05-25T13:43:19.417000+00:00,9979,1016.8,1261,43.7,117,0.8,0,22.5,55.0
2025-05-25T13:44:19.433000+00:00,9979,1016.8,1261,43.7,181,1.0,0,22.4,54.0
2025-05-25T13:45:19.434000+00:00,9979,1016.8,1261,43.7,353,0.8,0,22.5,54.0
2025-05-25T13:46:19.443000+00:00,9979,1016.9,1261,43.6,185,1.1,0,22.7,53.0
2025-05-25T13:47:19.434000+00:00,9979,1016.8,1261,43.2,169,1.5,0,22.6,54.0
2025-05-25T13:48:19.440000+00:00,9979,1016.7,1261,43.1,0,0.8,0,22.5,53.0
2025-05-25T13:49:19.456000+00:00,9979,1016.8,1261,43.2,141,0.9,0,22.6,54.0
2025-05-25T13:50:19.490000+00:00,9979,1016.7,1261,43.6,289,0.0,0,22.5,55.0
2025-05-25T13:51:19.490000+00:00,9979,1016.6,1261,43.7,75,0.8,0,22.5,55.0
2025-05-25T13:52:19.493000+00:00,9979,1016.6,1261,43.7,183,0.6,0,22.5,54.0
2025-05-25T13:53:19.509000+00:00,9979,1016.7,1261,43.5,202,0.7,0,22.6,53.0
2025-05-25T13:54:19.509000+00:00,9979,1016.7,1261,43.2,197,0.7,0,22.8,52.0
2025-05-25T13:55:19.521000+00:00,9979,1016.7,1261,43.2,203,0.6,0,22.7,54.0
2025-05-25T13:56:19.515000+00:00,9979,1016.6,1261,43.4,260,0.9,0,22.8,54.0
2025-05-25T13:57:19.526000+00:00,9979,1016.7,1261,43.5,0,0.7,0,22.9,52.0
2025-05-25T13:58:19.542000+00:00,9979,1016.7,1261,43.7,0,0.5,0,22.9,51.0
2025-05-25T13:59:19.548000+00:00,9979,1016.6,1261,42.9,345,0.8,0,22.6,54.0
2025-05-25T14:00:19.539000+00:00,9979,1016.6,1261,42.7,194,0.5,0,22.5,55.0
2025-05-25T14:01:19.563000+00:00,9979,1016.5,1261,43.0,180,0.9,0,22.5,54.0
2025-05-25T14:02:19.555000+00:00,9979,1016.6,1261,43.4,304,0.8,0,22.5,54.0
2025-05-25T14:03:19.561000+00:00,9979,1016.7,1261,43.2,170,0.7,0,22.5,55.0
2025-05-25T14:04:19.572000+00:00,9979,1016.5,1261,43.2,34,0.5,0,22.5,53.0
2025-05-25T14:05:19.595000+00:00,9979,1016.7,1261,42.4,181,0.9,0,22.5,55.0
2025-05-25T14:06:19.591000+00:00,9979,1016.7,1261,42.4,178,0.9,0,22.5,56.0
2025-05-25T14:07:19.607000+00:00,9979,1016.7,1261,42.3,146,1.1,0,22.5,56.0
2025-05-25T14:08:19.607000+00:00,9979,1016.6,1261,42.2,151,1.7,0,22.5,56.0
2025-05-25T14:09:19.623000+00:00,9979,1016.5,1261,42.2,197,1.1,0,22.6,55.0
2025-05-25T14:10:19.617000+00:00,9979,1016.5,1261,42.2,296,0.9,0,22.5,55.0
2025-05-25T14:11:19.640000+00:00,9979,1016.5,1261,42.1,70,0.8,0,22.4,55.0
2025-05-25T14:12:19.638000+00:00,9979,1016.5,1261,42.2,239,0.8,0,22.5,55.0
2025-05-25T14:13:19.665000+00:00,9979,1016.6,1261,42.2,331,1.0,0,22.4,54.0
2025-05-25T14:14:19.651000+00:00,9979,1016.5,1261,42.2,245,1.1,0,22.5,54.0
2025-05-25T14:15:19.663000+00:00,9979,1016.5,1261,42.9,225,0.7,0,22.5,53.0
2025-05-25T14:16:19.659000+00:00,9979,1016.4,1261,42.9,195,0.7,0,22.6,53.0
2025-05-25T14:17:19.682000+00:00,9979,1016.5,1261,43.9,348,1.3,0,22.6,53.0
2025-05-25T14:18:19.686000+00:00,9979,1016.5,1261,43.9,196,0.8,0,22.7,51.0
2025-05-25T14:19:19.700000+00:00,9979,1016.5,1261,43.9,4,1.1,0,22.8,50.0
2025-05-25T14:20:19.687000+00:00,9979,1016.5,1261,42.2,0,1.0,0,22.6,52.0
2025-05-25T14:21:19.703000+00:00,9979,1016.4,1261,42.2,0,0.6,0,22.5,52.0
2025-05-25T14:22:19.681000+00:00,9979,1016.4,1261,42.5,324,0.0,0,22.5,52.0
2025-05-25T14:23:19.694000+00:00,9979,1016.4,1261,42.5,201,1.0,0,22.5,52.0
2025-05-25T14:24:19.689000+00:00,9979,1016.3,1261,43.0,147,0.4,0,22.6,51.0
2025-05-25T14:25:19.690000+00:00,9979,1016.4,1261,43.0,179,0.8,0,22.7,50.0
2025-05-25T14:26:19.713000+00:00,9979,1016.4,1261,42.8,65,1.0,0,22.8,49.0
2025-05-25T14:27:19.708000+00:00,9979,1016.5,1261,42.8,197,1.0,0,22.8,48.0
2025-05-25T14:28:19.703000+00:00,9979,1016.4,1261,43.1,0,1.0,0,22.7,48.0
2025-05-25T14:29:19.718000+00:00,9979,1016.4,1261,42.7,314,0.8,0,22.6,48.0
2025-05-25T14:30:19.699000+00:00,9979,1016.3,1261,42.7,0,0.9,0,22.5,49.0
2025-05-25T14:31:19.709000+00:00,9979,1016.5,1261,41.7,195,0.4,0,22.5,50.0
2025-05-25T14:32:19.703000+00:00,9979,1016.3,1261,41.3,0,1.5,0,22.4,51.0
2025-05-25T14:33:19.711000+00:00,9979,1016.4,1261,41.8,0,0.4,0,22.4,51.0
2025-05-25T14:34:19.711000+00:00,9979,1016.2,1261,42.6,0,0.8,0,22.5,51.0
2025-05-25T14:35:19.706000+00:00,9979,1016.3,1261,42.2,198,0.6,0,22.5,50.0
2025-05-25T14:36:19.721000+00:00,9979,1016.3,1261,42.3,182,1.9,0,22.5,51.0
2025-05-25T14:37:19.711000+00:00,9979,1016.3,1261,42.7,185,1.4,0,22.6,50.0
2025-05-25T14:38:19.708000+00:00,9979,1016.3,1261,42.0,151,1.2,0,22.5,50.0
2025-05-25T14:39:19.705000+00:00,9979,1016.3,1261,41.8,242,1.6,0,22.3,51.0
2025-05-25T14:40:19.717000+00:00,9979,1016.3,1261,41.6,169,1.5,0,22.3,51.0
2025-05-25T14:41:19.718000+00:00,9979,1016.2,1261,41.3,203,1.5,0,22.2,52.0
2025-05-25T14:42:19.722000+00:00,9979,1016.2,1261,41.3,185,0.9,0,22.3,51.0
2025-05-25T14:43:19.722000+00:00,9979,1016.2,1261,41.9,195,1.5,0,22.4,50.0
2025-05-25T14:44:19.722000+00:00,9979,1016.2,1261,41.7,264,1.0,0,22.4,50.0
2025-05-25T14:45:19.707000+00:00,9979,1016.2,1261,41.4,192,1.5,0,22.4,51.0
2025-05-25T14:46:19.712000+00:00,9979,1016.2,1261,41.6,159,0.8,0,22.5,50.0
